,importance
dist_ma_15,0.11516361930152119
vol_5,0.10894348564607426
vol_15,0.10496479190358243
vol_30,0.10169422865753065
range_15,0.0889417274407192
dist_ma_5,0.06471582078643312
bar_range,0.06279754284083024
range_5,0.058931980298289395
mom_3,0.05842897918968751
mom_15,0.05740201629267961
mom_10,0.05316946926113996
dist_ma_30,0.049876689064050565
mom_5,0.033691057766491415
dist_ma_15_z,0.016750704521460755
vol_regime_ratio,0.009772625619034046
volume_mom_5,0.005595090159487232
range_ratio,0.004463814598990337
hour_cos,0.0023198668777670004
trend_strength,0.0011256677892540353
dom_sin,0.00039601771544312654
is_trending,0.0003374121810831536
vol_ratio_5_30,0.00027153520893732317
imbalance_5,7.144958580275141e-05
imbalance_15,6.874678436393195e-05
volume_z,4.5247031061431316e-05
month_sin,3.449802828326254e-05
dow_cos,2.591545000184648e-05
dow_sin,0.0
hour_sin,0.0
dom_cos,0.0
month_cos,0.0
