,importance
mom_3,0.13594610319059333
mom_30,0.0999398676253292
mom_15,0.09379026788049075
mom_5,0.08216259990302396
dist_ma_15,0.07509514244305095
mom_60,0.07480309735716896
dist_ma_30,0.0701762165002738
dist_ma_5,0.0591216282886528
mom_x_imb,0.052124985633850686
mom_10,0.04995153131579639
macd_hist,0.03366322421942025
bar_range,0.03266788878410883
range_5,0.022045293780781485
vol_15,0.018972861564293213
vol_5,0.01295069689945542
range_15,0.012578068641165828
range_ratio,0.012033200789625189
atr_norm,0.01181785058395607
vol_30,0.011105171875896526
mr_x_vol,0.005390287451005238
dist_ma_15_z,0.004639922885648103
trend_x_imb,0.004565800712146653
imbalance_15,0.0038898754236072752
vol_regime_ratio,0.0031671018955757883
trend_strength,0.002983710071016221
imbalance_5,0.0028634624821875974
num_trades_mom_5,0.002292527322324537
volume_mom_5,0.001793383015313195
imbalance,0.0009802347445074019
vol_ratio_5_30,0.0008574817330638325
dom_sin,0.0007307871542392918
trades_z,0.0007182448374585538
hour_cos,0.0006734441801282871
is_high_vol,0.0006099306373281921
hour_sin,0.0006035797144529961
volume_z,0.00048046880559914757
dom_cos,0.00041974037834699494
dow_sin,0.000406953416337994
month_sin,0.00033170084070066375
month_cos,0.00025257254896964004
dow_cos,0.00020929130084553228
is_trending,0.00019380117226334116
