,importance
vol_30,0.14200315819232168
range_15,0.10523462481626279
vol_15,0.08239698781177351
vol_5,0.06979724309241676
dist_ma_30,0.061042418221393904
range_5,0.059893420412424694
mom_5,0.05661023404693633
mom_10,0.056262184565013994
mom_15,0.05191494344809355
mom_3,0.039713863085266775
dist_ma_15,0.03544211781774678
dist_ma_5,0.028700955811327093
bar_range,0.028422860056810367
dist_ma_15_z,0.021116824295709165
range_ratio,0.019638521938961102
trend_strength,0.017611527299845983
dom_sin,0.01654980673696913
vol_regime_ratio,0.013405792345325419
imbalance_5,0.012157018303033378
hour_cos,0.009944191828556295
imbalance_15,0.009310123678542278
dow_cos,0.009077904488085693
vol_ratio_5_30,0.008992659877854114
volume_mom_5,0.008029502611060248
month_sin,0.007842865594982555
dom_cos,0.00761859624516354
dow_sin,0.007060603082593442
hour_sin,0.0053939474797889755
volume_z,0.004376151593235466
month_cos,0.0032083389111642333
is_trending,0.0012306123113405008
