,importance
vol_30,0.2242905079773547
range_15,0.13958764455786504
vol_15,0.1267007729687082
vol_5,0.06825138226595814
range_5,0.06042874922911472
bar_range,0.04690987515666681
mom_5,0.04621480136552067
dist_ma_5,0.044372760142468215
mom_10,0.04393588893774479
dist_ma_30,0.03963155969774125
mom_3,0.03639391705287419
dist_ma_15,0.025825700538889163
mom_15,0.02483174033818541
imbalance_15,0.012556799816605535
vol_ratio_5_30,0.010824110382549377
trend_strength,0.009322038856318155
vol_regime_ratio,0.008157197039456691
volume_z,0.007294203091973228
range_ratio,0.006892216959667421
volume_mom_5,0.006795337377066891
dist_ma_15_z,0.006435533394712082
imbalance_5,0.00434726285255922
