,importance
mom_60,0.15959408312365422
vol_5,0.11886339254911985
mom_x_imb,0.10743535949768289
atr_norm,0.0924830360249362
vol_15,0.07946256621390604
mom_30,0.05965750724247386
range_5,0.0580297682763265
range_15,0.05553431939273611
dist_ma_5,0.05047080901319489
dist_ma_30,0.044241663985143745
mom_3,0.031018905085686013
vol_30,0.029179650172189712
mom_5,0.026814197579625804
mom_15,0.025582555417728973
mom_10,0.015547638719209736
dist_ma_15,0.011746792400303085
bar_range,0.007729524308177863
macd_hist,0.007409904241440419
dist_ma_15_z,0.003032951683187495
vol_regime_ratio,0.0018244846074260694
imbalance_15,0.0015102500694514967
dow_sin,0.0015052248273427805
trend_strength,0.001387864989333587
vol_ratio_5_30,0.0012449583345788401
dom_sin,0.001212736481620781
range_ratio,0.0010593199600962594
hour_cos,0.0007612582462429433
mr_x_vol,0.0005451020173101389
month_cos,0.0005371227572894257
dow_cos,0.0004968913546734321
trend_x_imb,0.0004944068450236977
volume_z,0.00047691205082599133
trades_z,0.00047301886876528786
dom_cos,0.00046513857468276517
month_sin,0.0004242761923644596
hour_sin,0.0003846405514534278
num_trades_mom_5,0.00036995491265616996
imbalance_5,0.0003673490663195593
volume_mom_5,0.0003533669740191546
imbalance,0.00012985113100020604
is_trending,0.00010295290895703014
is_high_vol,3.829335184295878e-05
