,importance
vol_30,0.19379488491040842
vol_15,0.1557164548447356
range_15,0.09949800374803157
range_5,0.07975676742721272
mom_10,0.07151927748938927
mom_15,0.05243400492676166
bar_range,0.05082163730325386
vol_5,0.04299405283721195
dist_ma_15,0.040070294208939684
dist_ma_30,0.037413578930895273
dist_ma_5,0.023978681302039662
mom_5,0.020211743429982665
mom_3,0.019775155875826532
vol_regime_ratio,0.017795100697494532
trend_strength,0.016644612343822536
vol_ratio_5_30,0.015887746742880605
dist_ma_15_z,0.014862335151479014
volume_z,0.014155367596920886
range_ratio,0.013877339319242305
imbalance_5,0.005872887223982232
imbalance_15,0.005647764419696025
is_trending,0.0036599517270132446
volume_mom_5,0.0036123575427796967
