feature,importance
mom_60,0.06002977483112558
vol_30,0.05424621064658831
imbalance_15,0.05025531185729278
vol_regime_ratio,0.0472164318044364
atr_norm,0.046239492849207114
mom_5,0.04446315273166682
dist_ma_30,0.04381407625764957
mom_15,0.041924318962939494
trend_strength,0.041138239372002686
macd_hist,0.040749784834530955
vol_5,0.04008571225083859
vol_ratio_5_30,0.03967242163767466
dist_ma_15,0.0386286128081346
range_ratio,0.03684957429827712
trades_z,0.03130290793632574
co_spread,0.030904024126933025
volume_z,0.030178538554751982
bar_range,0.02996974224356822
num_trades_mom_5,0.029202955389177637
volume_mom_5,0.028704260651009113
imbalance,0.02864476910964571
imbalance_z,0.028449364253891194
close_pos_in_bar,0.02764573283304072
taker_buy_ratio,0.027256635825514783
hour_cos,0.02718816557340019
hour_sin,0.02255022453504279
dow_sin,0.021782666345090025
dow_cos,0.010906897480244029
