,importance
vol_5,0.10507241374911946
range_5,0.08995058966956601
dist_ma_5,0.087092984780144
vol_30,0.0867682625329873
mom_3,0.07850114186929538
mom_15,0.07279748357697376
vol_15,0.06958797291103898
mom_5,0.05510601390206799
dist_ma_30,0.0528715688972685
dist_ma_15,0.05216806234076328
range_15,0.0515487323226933
bar_range,0.04172611099841413
mom_10,0.035800124347668376
dist_ma_15_z,0.02857779044982286
range_ratio,0.02003862200100117
vol_regime_ratio,0.0193009434476135
dom_sin,0.007290363667469316
volume_z,0.006405924330725645
trend_strength,0.005601842253033407
vol_ratio_5_30,0.004778438586543663
imbalance_15,0.004007690834835976
imbalance_5,0.003910106498165293
dow_sin,0.0037681605340253274
volume_mom_5,0.00350828549648781
hour_sin,0.0031662550164034734
dom_cos,0.0026407836316409594
hour_cos,0.0026093255822506366
dow_cos,0.0016616451904996133
month_sin,0.00159763741674136
month_cos,0.0011567455779623414
is_trending,0.000987977586777304
