,importance
vol_15,0.11740738525803865
vol_30,0.1067468283793013
range_15,0.08343386153029574
mom_5,0.07782305970855777
dist_ma_30,0.06945025877730238
mom_15,0.0671759869963535
range_5,0.05691372910704931
dist_ma_5,0.055198185697289286
dist_ma_15,0.053791536532267016
mom_3,0.051692355321506823
mom_10,0.04518690717586786
vol_5,0.0366454413660368
bar_range,0.03525715781611452
dist_ma_15_z,0.030444804479559773
range_ratio,0.02956763755177132
dom_sin,0.022521066379448552
vol_regime_ratio,0.020790200018670033
trend_strength,0.00813758254103326
dom_cos,0.00709961555966789
dow_sin,0.005642792850990348
imbalance_5,0.004455680584729285
imbalance_15,0.003463085216043495
dow_cos,0.003459146799917591
volume_mom_5,0.0020449899004997517
month_sin,0.00178078688780789
hour_sin,0.0017527581436694243
vol_ratio_5_30,0.000864890944865224
hour_cos,0.0006226992982175469
month_cos,0.0005399824213686625
volume_z,8.958675575900431e-05
is_trending,0.0
