feature,importance
vol_30,0.056708906579918845
mom_60,0.055338302330827954
vol_regime_ratio,0.053089116958458596
atr_norm,0.04986186896864983
imbalance_15,0.04919450664410892
macd_hist,0.04433760449473545
dist_ma_15,0.04322128434572524
dist_ma_30,0.04295107291395503
trend_strength,0.042520239754691554
mom_15,0.04132419445213033
vol_5,0.03944468752321877
vol_ratio_5_30,0.03849642686573578
range_ratio,0.037224661883333704
mom_5,0.03704777100570889
bar_range,0.03307077183611307
num_trades_mom_5,0.031863614560093706
trades_z,0.03177023000614516
hour_sin,0.03173737617584097
volume_z,0.031289083793849315
volume_mom_5,0.028106896666450033
imbalance_z,0.027790884194508033
co_spread,0.026605981770014036
taker_buy_ratio,0.024712346756278935
hour_cos,0.024567924073631283
imbalance,0.02455457538040007
close_pos_in_bar,0.022915040282331434
dow_sin,0.017641686613388163
dow_cos,0.012612943169756868
