feature,importance
vol_30,0.05169807616003864
atr_norm,0.05110925748843957
mom_60,0.05069235382198931
imbalance_15,0.048590618471100536
dist_ma_30,0.04815662740518402
vol_regime_ratio,0.04798202638137507
macd_hist,0.043364625633648825
trend_strength,0.042473722579641444
range_ratio,0.03953189225057115
mom_15,0.03918050296014311
mom_5,0.03818271576534247
vol_ratio_5_30,0.037859131733467354
dist_ma_15,0.037511871806686206
vol_5,0.03721201762301495
co_spread,0.03539351121267033
bar_range,0.032807663896084395
trades_z,0.03196445692652819
num_trades_mom_5,0.031260643030961745
volume_z,0.030191111120152443
volume_mom_5,0.02959239532631638
hour_sin,0.029239281387911056
close_pos_in_bar,0.02889648109397012
imbalance,0.02805178035716008
imbalance_z,0.02747426783306901
taker_buy_ratio,0.026516830633854044
hour_cos,0.024191689947459002
dow_sin,0.018347194153604845
dow_cos,0.012527252999615735
