,importance
mom_60,0.21242893504768556
mom_30,0.0965698707484597
atr_norm,0.053613521713911975
dist_ma_30,0.05215255233032856
vol_15,0.04497429340684578
range_5,0.037429598112424585
mom_10,0.03617604986059463
range_15,0.03414478612442255
vol_5,0.03410267405843419
macd_hist,0.02860730543294204
dist_ma_15,0.02580987942438917
vol_30,0.02273969506705571
dist_ma_5,0.02032343226586463
mom_15,0.019094219839418714
mom_3,0.018428313334489726
mom_x_imb,0.018202916020313854
bar_range,0.017743249399956747
imbalance_15,0.01748611657052857
trend_strength,0.016260859234403298
vol_regime_ratio,0.016120025296141795
mom_5,0.01595800414843146
imbalance_5,0.014299875321382738
range_ratio,0.014096640941399044
dom_sin,0.013948770183506817
dist_ma_15_z,0.0127916692930142
hour_cos,0.011735310678747765
trend_x_imb,0.011455245096375638
trades_z,0.010781163668613545
imbalance,0.009554626308336749
vol_ratio_5_30,0.009390982619590402
volume_z,0.00877862772576713
hour_sin,0.00689903771732489
mr_x_vol,0.006439878667839719
num_trades_mom_5,0.006196123624652073
volume_mom_5,0.0059832764345833424
dom_cos,0.004900672594778336
month_sin,0.004854258954360927
dow_sin,0.0034752595772777877
dow_cos,0.002641096444704654
month_cos,0.002141426880155875
is_trending,0.0007169874761982438
is_high_vol,0.0005527723543467166
