,importance
vol_15,0.11554992474555356
vol_30,0.10853316011353716
range_5,0.10011326215179327
vol_5,0.07717149008341061
range_15,0.07166438613369833
mom_5,0.06125551806388449
mom_10,0.056197662102516234
mom_15,0.054647608958351954
dist_ma_15,0.04724211154771945
dist_ma_30,0.045372208503272345
mom_3,0.04191720223292823
dist_ma_5,0.04151853691407838
bar_range,0.03688821062854687
vol_regime_ratio,0.033951637691051105
range_ratio,0.029065249854199685
dist_ma_15_z,0.01759854118096241
imbalance_5,0.015243300948389688
imbalance_15,0.010693892337295502
volume_z,0.010022200812870618
volume_mom_5,0.008241927159127005
vol_ratio_5_30,0.007861020929199918
trend_strength,0.006082187185678518
is_trending,0.0031687597219348033
