feature,importance
month_cos,11.333786010742188
hour_cos,11.231874465942383
dow_sin,11.12203311920166
dom_sin,11.061128616333008
range_15,11.042221069335938
hour_sin,11.01472282409668
dist_ma_30,10.724578857421875
mom_30,10.710028648376465
vol_30,10.624846458435059
atr_norm,10.594950675964355
vol_15,10.53997802734375
dom_cos,10.483748435974121
month_sin,10.343623161315918
range_5,10.224100112915039
imbalance_15,10.217877388000488
macd_hist,10.052820205688477
vol_5,9.985447883605957
mom_60,9.957398414611816
trend_strength,9.817440032958984
vol_regime_ratio,9.638809204101562
mom_15,9.504341125488281
range_ratio,9.439140319824219
dow_cos,9.402915954589844
dist_ma_15,9.275165557861328
imbalance_5,9.145851135253906
mr_x_vol,9.013772964477539
mom_10,8.831343650817871
trend_x_imb,8.778253555297852
mom_5,8.770098686218262
bar_range,8.735628128051758
mom_3,8.663661003112793
dist_ma_15_z,8.655107498168945
is_trending,8.476598739624023
is_high_vol,8.420148849487305
vol_ratio_5_30,8.39771556854248
dist_ma_5,8.293671607971191
trades_z,7.985857009887695
mom_x_imb,7.813275337219238
num_trades_mom_5,7.7551774978637695
imbalance,7.599017143249512
volume_z,7.317586898803711
volume_mom_5,6.642050266265869
