feature,importance
dist_ma_30,10.588579177856445
dow_sin,9.929497718811035
dow_cos,9.789275169372559
hour_cos,9.664152145385742
vol_30,9.596003532409668
hour_sin,9.457379341125488
mom_60,9.21738338470459
atr_norm,9.077425003051758
macd_hist,8.780590057373047
imbalance_15,8.759927749633789
dist_ma_15,8.749454498291016
mom_15,8.353073120117188
vol_regime_ratio,8.278853416442871
vol_5,8.2110595703125
trend_strength,8.09160041809082
range_ratio,7.918504238128662
mom_5,7.724706172943115
vol_ratio_5_30,7.706820964813232
volume_z,7.519110202789307
trades_z,7.389734268188477
taker_buy_ratio,7.224639415740967
bar_range,6.884493350982666
num_trades_mom_5,6.821702480316162
imbalance,6.816465854644775
close_pos_in_bar,6.779043197631836
imbalance_z,6.489246845245361
volume_mom_5,6.399967193603516
co_spread,6.371747016906738
