,importance
volume_mom_5,0.119665235
imbalance_15,0.09076309
trend_strength,0.088731796
num_trades_mom_5,0.088199094
dist_ma_15_z,0.07265117
range_ratio,0.05538987
is_trending,0.04895856
mr_x_vol,0.039228387
trend_x_imb,0.036855355
trades_z,0.03683602
mom_x_imb,0.03572396
dom_sin,0.031953026
volume_z,0.030408211
dist_ma_5,0.02841381
hour_cos,0.02214467
imbalance,0.018173052
vol_ratio_5_30,0.017185356
mom_60,0.0129858395
mom_3,0.011808448
vol_15,0.011022704
vol_regime_ratio,0.010911333
atr_norm,0.010694177
imbalance_5,0.009889084
vol_30,0.009459731
mom_5,0.0070474492
range_15,0.007029123
vol_5,0.0067904806
hour_sin,0.0053581065
mom_30,0.00532598
dow_cos,0.00419908
dist_ma_15,0.0032712014
mom_15,0.0032119066
dist_ma_30,0.0031175057
macd_hist,0.0027544333
bar_range,0.0024352307
dom_cos,0.0020654034
month_sin,0.0017415574
dow_sin,0.0016918291
is_high_vol,0.0016456244
range_5,0.0016202271
mom_10,0.0015364117
month_cos,0.0011064312
