feature,importance
vol_30,10.248661041259766
dist_ma_30,9.520025253295898
atr_norm,9.421504020690918
hour_cos,9.367369651794434
hour_sin,9.098848342895508
dow_cos,9.00048542022705
vol_regime_ratio,8.782258987426758
trend_strength,8.757421493530273
imbalance_15,8.722442626953125
dow_sin,8.720434188842773
mom_60,8.699650764465332
mom_15,8.486384391784668
macd_hist,8.3134765625
vol_5,8.297755241394043
vol_ratio_5_30,8.16623592376709
dist_ma_15,8.109286308288574
bar_range,7.655210494995117
mom_5,7.582677841186523
range_ratio,7.55247688293457
taker_buy_ratio,7.458625316619873
volume_mom_5,7.3597307205200195
trades_z,7.329936981201172
close_pos_in_bar,7.259923458099365
imbalance_z,7.2269511222839355
num_trades_mom_5,7.211769104003906
volume_z,7.196959495544434
imbalance,7.083183765411377
co_spread,6.5897216796875
