,importance
trend_strength,0.087671295
volume_mom_5,0.0774895
dist_ma_15_z,0.059307422
dom_sin,0.04825858
range_ratio,0.0449977
vol_regime_ratio,0.04030411
vol_15,0.0386032
mom_10,0.03805933
dow_sin,0.037074413
imbalance_15,0.035986137
mom_5,0.03021897
imbalance_5,0.02980089
range_15,0.028740903
hour_sin,0.028622864
hour_cos,0.026576348
mom_15,0.026472062
dist_ma_30,0.025733769
vol_30,0.025655951
dist_ma_15,0.02519253
volume_z,0.024617983
vol_ratio_5_30,0.02369535
dom_cos,0.023232661
dow_cos,0.0217245
month_sin,0.021008736
month_cos,0.020572802
dist_ma_5,0.02009463
vol_5,0.019857824
range_5,0.019480646
bar_range,0.018221937
mom_3,0.01719954
is_trending,0.015527395
