feature,importance
hour_cos,10.27539348602295
vol_30,9.922658920288086
dow_sin,9.731915473937988
mom_60,9.482624053955078
atr_norm,9.46766185760498
dow_cos,9.300814628601074
dist_ma_30,9.247300148010254
hour_sin,9.21413516998291
vol_regime_ratio,9.152338981628418
trend_strength,8.871659278869629
macd_hist,8.545549392700195
vol_ratio_5_30,8.394198417663574
vol_5,8.364065170288086
dist_ma_15,8.35268497467041
imbalance_15,8.340131759643555
mom_15,8.241189956665039
mom_5,7.7820725440979
range_ratio,7.755590915679932
trades_z,7.2971086502075195
volume_z,7.185357570648193
imbalance_z,7.116986274719238
num_trades_mom_5,6.994632244110107
volume_mom_5,6.9613728523254395
bar_range,6.904311180114746
close_pos_in_bar,6.756957530975342
co_spread,6.6775736808776855
imbalance,6.62590217590332
taker_buy_ratio,6.546427249908447
