,importance
month_sin,0.043362897
trend_strength,0.04257252
is_trending,0.041472316
dom_sin,0.04042541
imbalance_15,0.040372588
hour_cos,0.03933824
vol_regime_ratio,0.03605834
volume_mom_5,0.035949
hour_sin,0.035040375
dist_ma_15_z,0.034805942
imbalance_5,0.03466414
dow_cos,0.033739056
range_ratio,0.033443745
dom_cos,0.033283696
dow_sin,0.032738063
vol_ratio_5_30,0.031766962
range_15,0.031752106
month_cos,0.030798664
volume_z,0.030611677
vol_30,0.030504925
vol_15,0.029251862
dist_ma_30,0.029082054
vol_5,0.027917417
mom_15,0.027890876
mom_10,0.026799537
dist_ma_5,0.026340546
range_5,0.026322547
dist_ma_15,0.02425036
mom_5,0.023909645
mom_3,0.0235463
bar_range,0.02198814
