feature,importance
hour_cos,11.484280586242676
month_cos,11.260446548461914
vol_30,11.139995574951172
dow_cos,11.082240104675293
dom_cos,11.059210777282715
atr_norm,10.83016586303711
range_15,10.803098678588867
month_sin,10.791248321533203
hour_sin,10.782075881958008
mom_30,10.641995429992676
dom_sin,10.602320671081543
vol_15,10.571187973022461
dow_sin,10.507170677185059
mom_60,10.372171401977539
macd_hist,10.315423011779785
vol_regime_ratio,10.163857460021973
imbalance_15,10.148056983947754
imbalance_5,9.972293853759766
dist_ma_30,9.890124320983887
dist_ma_15,9.809670448303223
mom_15,9.63430404663086
range_5,9.60758113861084
trend_strength,9.532805442810059
vol_5,9.430625915527344
is_high_vol,9.340364456176758
mr_x_vol,9.336398124694824
mom_5,9.252289772033691
dist_ma_15_z,9.15203857421875
is_trending,9.05451488494873
range_ratio,8.7530517578125
vol_ratio_5_30,8.577520370483398
trend_x_imb,8.539802551269531
mom_10,8.380066871643066
mom_3,8.044280052185059
volume_z,8.043063163757324
trades_z,8.03568172454834
num_trades_mom_5,7.946490287780762
dist_ma_5,7.9230780601501465
mom_x_imb,7.850866794586182
bar_range,7.562459468841553
volume_mom_5,7.181163787841797
imbalance,6.559475421905518
