,importance
trend_strength,0.10393644
dow_cos,0.08294756
dist_ma_15_z,0.07295254
dom_sin,0.07127966
imbalance_15,0.07093318
range_ratio,0.063445956
imbalance_5,0.055285286
volume_z,0.053891126
volume_mom_5,0.05377748
hour_cos,0.047216974
vol_ratio_5_30,0.046195854
month_sin,0.035816416
hour_sin,0.031491015
is_trending,0.025287284
vol_5,0.020372855
vol_regime_ratio,0.019788012
mom_5,0.015694072
dist_ma_5,0.014875935
dist_ma_15,0.013310324
vol_15,0.0122732185
mom_3,0.011475968
range_15,0.011352217
dist_ma_30,0.010645599
vol_30,0.010539459
month_cos,0.008796273
bar_range,0.0077940123
dow_sin,0.007360049
dom_cos,0.006479053
range_5,0.0063530128
mom_15,0.004255109
mom_10,0.004178025
