,importance
imbalance_5,0.0731384
vol_regime_ratio,0.06250671
trend_x_imb,0.057109907
volume_mom_5,0.05644829
is_trending,0.054952543
dist_ma_5,0.051724076
range_ratio,0.04310415
volume_z,0.04273782
imbalance_15,0.036442015
mom_5,0.03491014
trades_z,0.03452979
dist_ma_15_z,0.030830832
vol_ratio_5_30,0.03012934
mom_3,0.03012435
trend_strength,0.02908807
bar_range,0.029032907
vol_15,0.029020622
mr_x_vol,0.027833903
mom_10,0.027120048
num_trades_mom_5,0.025584122
dist_ma_30,0.025347946
vol_30,0.025073528
mom_x_imb,0.021415599
imbalance,0.021319909
vol_5,0.019604806
mom_15,0.018141849
range_5,0.016910309
range_15,0.015827475
is_high_vol,0.015176105
dist_ma_15,0.0148144625
