feature,importance
is_trending,12.519530296325684
dow_cos,12.219097137451172
dow_sin,11.57345962524414
vol_30,11.519330978393555
hour_cos,11.501445770263672
dom_sin,11.089847564697266
month_sin,11.049490928649902
mom_30,10.96934986114502
month_cos,10.93605899810791
mom_5,10.847311973571777
dom_cos,10.834354400634766
vol_15,10.71339225769043
range_15,10.613144874572754
atr_norm,10.583815574645996
mom_60,10.559932708740234
imbalance_15,10.459253311157227
vol_regime_ratio,10.344695091247559
dist_ma_15,10.27265739440918
hour_sin,10.140592575073242
macd_hist,10.007879257202148
range_5,9.946927070617676
mom_3,9.797340393066406
dist_ma_30,9.740673065185547
dist_ma_5,9.62930965423584
trend_strength,9.465022087097168
vol_5,9.38991641998291
range_ratio,9.281526565551758
mr_x_vol,9.252015113830566
mom_15,9.185961723327637
vol_ratio_5_30,9.096161842346191
dist_ma_15_z,9.087482452392578
trend_x_imb,9.077108383178711
is_high_vol,8.753665924072266
mom_10,8.682072639465332
imbalance_5,8.456117630004883
mom_x_imb,8.031623840332031
volume_mom_5,7.912249565124512
trades_z,7.881695747375488
imbalance,7.842665672302246
bar_range,7.493465900421143
volume_z,7.4830145835876465
num_trades_mom_5,7.055830478668213
