,importance
volume_z,0.1609693
mom_x_imb,0.14351316
trend_strength,0.09939873
is_trending,0.0545032
dom_sin,0.05316482
volume_mom_5,0.043379392
num_trades_mom_5,0.036121998
vol_30,0.02934258
mom_60,0.025313804
imbalance_15,0.023846757
trades_z,0.022876563
trend_x_imb,0.022453144
imbalance,0.020078126
dist_ma_15_z,0.02002635
mom_30,0.018459406
dow_cos,0.018221773
imbalance_5,0.017392196
vol_5,0.015972985
bar_range,0.015770566
mr_x_vol,0.015168308
atr_norm,0.014881183
range_15,0.014846232
vol_15,0.0122695
hour_cos,0.012093035
is_high_vol,0.01036479
hour_sin,0.008975984
range_ratio,0.008849154
dist_ma_30,0.008779425
mom_5,0.008101121
range_5,0.0054038125
vol_ratio_5_30,0.0052250647
vol_regime_ratio,0.0051948293
mom_3,0.0041648657
dist_ma_5,0.0039266106
month_sin,0.0037849217
dist_ma_15,0.003572942
mom_15,0.0031640893
macd_hist,0.0030037249
dow_sin,0.0022206248
mom_10,0.0018382793
month_cos,0.0018154861
dom_cos,0.0015511638
