feature,importance
range_15,11.55260181427002
vol_15,11.083045959472656
dow_cos,11.010478973388672
hour_cos,10.842015266418457
dom_sin,10.776395797729492
vol_30,10.633193969726562
dom_cos,10.507891654968262
month_cos,10.494007110595703
mom_5,10.396238327026367
dist_ma_30,10.33910083770752
dist_ma_15,10.304315567016602
imbalance_15,10.2350435256958
mom_60,10.222309112548828
hour_sin,10.161877632141113
mom_30,10.093154907226562
dow_sin,10.08615779876709
month_sin,9.964454650878906
dist_ma_5,9.948522567749023
macd_hist,9.858951568603516
atr_norm,9.838458061218262
range_5,9.79098892211914
trend_x_imb,9.594924926757812
vol_5,9.56857967376709
trend_strength,9.423314094543457
vol_regime_ratio,9.387874603271484
dist_ma_15_z,9.261514663696289
mom_15,9.178361892700195
is_trending,9.170380592346191
mom_10,9.003172874450684
mr_x_vol,9.001144409179688
range_ratio,8.845190048217773
vol_ratio_5_30,8.834282875061035
is_high_vol,8.83208179473877
imbalance_5,8.507726669311523
mom_3,8.464522361755371
mom_x_imb,7.867902755737305
num_trades_mom_5,7.7800984382629395
trades_z,7.666355133056641
volume_z,7.5088114738464355
imbalance,7.4595232009887695
bar_range,7.08015775680542
volume_mom_5,6.642557144165039
