,importance
trend_x_imb,0.09485873
trend_strength,0.08045779
vol_30,0.053750645
imbalance_5,0.04791899
vol_15,0.043974016
num_trades_mom_5,0.042093106
imbalance_15,0.040400233
volume_mom_5,0.037956446
vol_ratio_5_30,0.035131533
dom_sin,0.03415868
dist_ma_15_z,0.029016031
month_sin,0.02879995
imbalance,0.027370041
mom_10,0.02460899
hour_sin,0.024391435
mr_x_vol,0.022922305
mom_x_imb,0.021271862
range_ratio,0.020945929
mom_5,0.02085598
volume_z,0.02071679
range_15,0.019519038
dist_ma_30,0.019259652
mom_60,0.016172228
atr_norm,0.014951717
trades_z,0.01487599
month_cos,0.014166901
vol_regime_ratio,0.0136862
hour_cos,0.012058955
dow_sin,0.010903565
vol_5,0.010873491
mom_3,0.010507999
dom_cos,0.010449183
mom_30,0.009898491
macd_hist,0.009667661
dist_ma_5,0.009012025
mom_15,0.0087788245
is_trending,0.008010002
dow_cos,0.0075908406
bar_range,0.007408099
range_5,0.0073510995
dist_ma_15,0.007238072
is_high_vol,0.006020502
