feature,importance
vol_30,9.857063293457031
hour_sin,9.791023254394531
atr_norm,9.413429260253906
mom_60,9.413222312927246
dow_sin,9.394170761108398
dist_ma_30,9.272514343261719
dow_cos,8.893239974975586
dist_ma_15,8.849709510803223
hour_cos,8.843918800354004
imbalance_15,8.73081111907959
vol_regime_ratio,8.585049629211426
mom_15,8.351302146911621
macd_hist,8.310807228088379
vol_5,8.1510591506958
trend_strength,8.147971153259277
vol_ratio_5_30,7.9232892990112305
range_ratio,7.795721054077148
mom_5,7.641967296600342
bar_range,7.417963981628418
volume_z,7.212641716003418
num_trades_mom_5,7.1365509033203125
trades_z,7.102649688720703
volume_mom_5,6.860732555389404
imbalance_z,6.814682960510254
close_pos_in_bar,6.674724102020264
imbalance,6.535819053649902
co_spread,6.422946929931641
taker_buy_ratio,6.113407135009766
