feature,importance
is_trending,5.724646091461182
atr_norm,4.2338032722473145
dow_sin,3.531731367111206
trend_strength,3.30375337600708
range_15,3.181079864501953
vol_15,3.1548993587493896
is_high_vol,3.113093376159668
hour_cos,3.0602221488952637
trend_x_imb,2.994357109069824
dist_ma_30,2.9830269813537598
vol_5,2.9001991748809814
hour_sin,2.8254554271698
mom_60,2.684694290161133
dist_ma_15,2.5284364223480225
imbalance_15,2.494826078414917
dist_ma_5,2.4608840942382812
mom_x_imb,2.436568021774292
imbalance_5,2.372574806213379
range_5,2.371032953262329
vol_30,2.367196559906006
mom_5,2.360943555831909
vol_ratio_5_30,2.220015525817871
mr_x_vol,2.133371353149414
num_trades_mom_5,2.125552177429199
volume_mom_5,2.124574899673462
vol_regime_ratio,2.121253252029419
macd_hist,2.0756118297576904
dist_ma_15_z,2.055537462234497
mom_30,2.0455448627471924
bar_range,1.9915924072265625
mom_15,1.9497435092926025
range_ratio,1.8442437648773193
mom_10,1.7069027423858643
imbalance,1.6993091106414795
dow_cos,1.6819642782211304
trades_z,1.4596501588821411
volume_z,1.4151877164840698
mom_3,1.409437656402588
dom_sin,0.5669814944267273
dom_cos,0.0
month_sin,0.0
month_cos,0.0
