feature,importance
dist_ma_30,10.092619895935059
vol_30,10.016239166259766
dow_cos,9.995918273925781
dow_sin,9.82786750793457
hour_sin,9.527457237243652
atr_norm,9.303902626037598
mom_60,9.127123832702637
close_pos_in_bar,9.064037322998047
hour_cos,9.059320449829102
macd_hist,8.718607902526855
vol_regime_ratio,8.61709213256836
imbalance_15,8.566305160522461
trend_strength,8.50002384185791
dist_ma_15,8.295653343200684
range_ratio,8.115604400634766
mom_15,8.097732543945312
bar_range,7.970264434814453
vol_ratio_5_30,7.912795066833496
vol_5,7.737396240234375
mom_5,7.729101181030273
co_spread,7.282583236694336
taker_buy_ratio,7.270988464355469
trades_z,7.122169017791748
volume_z,7.038610935211182
num_trades_mom_5,6.858513355255127
imbalance,6.83139181137085
volume_mom_5,6.787492275238037
imbalance_z,6.554087162017822
