feature,importance
hour_sin,11.672037124633789
hour_cos,11.309537887573242
dom_sin,11.308774948120117
vol_30,11.220552444458008
is_trending,11.151641845703125
month_cos,11.091517448425293
dow_sin,10.82702350616455
mom_60,10.805985450744629
dom_cos,10.63215446472168
range_15,10.603293418884277
dist_ma_15,10.590892791748047
macd_hist,10.504403114318848
dow_cos,10.444727897644043
dist_ma_30,10.376812934875488
vol_regime_ratio,10.317378044128418
vol_15,10.145065307617188
imbalance_15,10.132515907287598
atr_norm,10.056148529052734
month_sin,10.044532775878906
dist_ma_15_z,10.019375801086426
trend_strength,9.82512092590332
mom_30,9.787907600402832
vol_5,9.615798950195312
range_5,9.593570709228516
mom_5,9.362974166870117
mr_x_vol,9.200333595275879
imbalance_5,9.047459602355957
mom_15,8.78510570526123
vol_ratio_5_30,8.715317726135254
mom_10,8.629534721374512
dist_ma_5,8.58126449584961
trend_x_imb,8.575057983398438
range_ratio,8.260462760925293
mom_3,8.131189346313477
mom_x_imb,7.7986016273498535
trades_z,7.546553134918213
imbalance,7.512546062469482
volume_z,7.477144718170166
bar_range,7.283388614654541
volume_mom_5,7.252997875213623
num_trades_mom_5,6.951419830322266
is_high_vol,6.949504375457764
