,importance
mom_5,0.09113842
vol_15,0.06283117
mom_3,0.05823615
hour_sin,0.04321646
dom_sin,0.040112305
dow_cos,0.036871362
dow_sin,0.03484416
atr_norm,0.034345865
is_high_vol,0.031053392
macd_hist,0.028713943
range_15,0.028214242
mom_x_imb,0.02791617
vol_30,0.026077773
month_sin,0.025321377
vol_regime_ratio,0.025152296
vol_ratio_5_30,0.024672866
dist_ma_5,0.023317333
trend_strength,0.022135919
vol_5,0.021485772
range_ratio,0.02142216
imbalance_15,0.020132773
mr_x_vol,0.019832157
mom_60,0.01947122
trades_z,0.0183105
imbalance,0.0181106
trend_x_imb,0.017963331
dist_ma_15_z,0.01773549
dom_cos,0.016459908
volume_mom_5,0.014972585
mom_30,0.013445148
bar_range,0.013147311
dist_ma_15,0.011970333
dist_ma_30,0.01159302
month_cos,0.011356201
imbalance_5,0.011315716
volume_z,0.010384341
num_trades_mom_5,0.010353983
range_5,0.0102462405
mom_10,0.009824174
mom_15,0.0090376185
is_trending,0.0045098406
hour_cos,0.0027484004
