feature,importance
vol_30,10.192254066467285
mom_60,10.112760543823242
hour_sin,9.732330322265625
hour_cos,9.478839874267578
dow_sin,9.308022499084473
atr_norm,9.228423118591309
dow_cos,9.162548065185547
vol_regime_ratio,9.146312713623047
macd_hist,9.039273262023926
imbalance_15,8.814468383789062
dist_ma_30,8.585308074951172
dist_ma_15,8.420326232910156
trend_strength,8.253808975219727
mom_15,8.248062133789062
vol_5,8.03639030456543
vol_ratio_5_30,7.825831890106201
trades_z,7.74454927444458
mom_5,7.673112392425537
range_ratio,7.593901634216309
imbalance,7.281665802001953
volume_z,7.276698112487793
volume_mom_5,7.1203227043151855
bar_range,6.913263320922852
co_spread,6.899832725524902
num_trades_mom_5,6.86793327331543
close_pos_in_bar,6.818584442138672
imbalance_z,6.736106872558594
taker_buy_ratio,6.538609981536865
