feature,importance
dow_sin,10.172547340393066
vol_30,10.040026664733887
dist_ma_30,9.796528816223145
atr_norm,9.532405853271484
hour_sin,9.306239128112793
vol_regime_ratio,9.203360557556152
mom_60,9.078028678894043
macd_hist,9.07485294342041
dow_cos,9.037038803100586
hour_cos,9.035178184509277
trend_strength,8.750062942504883
imbalance_15,8.56357192993164
dist_ma_15,8.490333557128906
mom_15,8.427933692932129
vol_ratio_5_30,8.217657089233398
mom_5,8.067546844482422
range_ratio,8.053643226623535
vol_5,7.896568298339844
taker_buy_ratio,7.8233232498168945
trades_z,7.820190906524658
bar_range,7.517712116241455
num_trades_mom_5,7.367483615875244
volume_z,7.334973335266113
volume_mom_5,7.325552940368652
co_spread,6.808141708374023
imbalance,6.787472248077393
imbalance_z,6.720698833465576
close_pos_in_bar,6.445893287658691
