,importance
trend_strength,0.06576526
imbalance_5,0.06046695
range_ratio,0.058373027
month_sin,0.053549398
vol_regime_ratio,0.05114531
hour_cos,0.0476998
dist_ma_15_z,0.04260563
hour_sin,0.04028396
dom_sin,0.03999748
vol_ratio_5_30,0.03716798
imbalance_15,0.03674245
dist_ma_15,0.03413999
volume_mom_5,0.032565705
dom_cos,0.030598763
is_trending,0.029333709
dow_cos,0.026809871
vol_30,0.025569657
range_15,0.023646269
vol_15,0.023470959
mom_3,0.022399506
dist_ma_30,0.021883471
volume_z,0.021278089
dist_ma_5,0.021111283
vol_5,0.020987704
dow_sin,0.020622894
mom_15,0.020528482
range_5,0.020192057
month_cos,0.01907785
mom_10,0.017996447
bar_range,0.017323274
mom_5,0.016666811
