feature,importance
is_trending,12.592081069946289
dow_sin,11.497093200683594
month_sin,11.27781867980957
dom_cos,11.215400695800781
dom_sin,11.10883903503418
month_cos,11.04218578338623
hour_cos,10.972664833068848
vol_15,10.908924102783203
hour_sin,10.817541122436523
range_15,10.534936904907227
dist_ma_30,10.456066131591797
macd_hist,10.418167114257812
vol_30,10.303662300109863
dist_ma_15,10.081216812133789
mom_60,10.006780624389648
atr_norm,9.953776359558105
mom_30,9.91260814666748
range_5,9.849603652954102
is_high_vol,9.844159126281738
range_ratio,9.835854530334473
mr_x_vol,9.825401306152344
dow_cos,9.740948677062988
vol_regime_ratio,9.729805946350098
trend_strength,9.673370361328125
mom_10,9.647913932800293
mom_5,9.23773193359375
imbalance_15,9.203290939331055
mom_15,9.03600025177002
vol_ratio_5_30,8.938567161560059
dist_ma_15_z,8.843391418457031
imbalance_5,8.632973670959473
vol_5,8.463014602661133
mom_x_imb,8.441646575927734
trades_z,8.440444946289062
volume_z,8.177425384521484
trend_x_imb,8.068525314331055
bar_range,7.955904960632324
dist_ma_5,7.95186710357666
mom_3,7.827317714691162
imbalance,7.305554389953613
num_trades_mom_5,7.150022029876709
volume_mom_5,7.07891845703125
